Date,Open,High,Low,Close,Volume,Adj. Close*
21-Oct-03,9778.31,9824.90,9697.94,9747.64,1498000000,9747.64
20-Oct-03,9721.50,9816.97,9665.35,9777.94,1172600064,9777.94
17-Oct-03,9791.86,9833.12,9679.72,9721.79,1352000000,9721.79
16-Oct-03,9798.68,9838.53,9679.13,9791.72,1417699968,9791.72
15-Oct-03,9824.09,9901.64,9731.57,9803.05,1521100032,9803.05
14-Oct-03,9763.27,9833.42,9696.90,9812.98,1271900032,9812.98
13-Oct-03,9675.72,9814.97,9675.72,9764.38,1040499968,9764.38
10-Oct-03,9682.90,9743.12,9622.31,9674.68,1108099968,9674.68
9-Oct-03,9633.35,9798.08,9617.35,9680.01,1578700032,9680.01
8-Oct-03,9653.33,9699.35,9571.35,9630.90,1262499968,9630.90
7-Oct-03,9593.28,9672.68,9512.76,9654.61,1279500032,9654.61
6-Oct-03,9572.39,9656.09,9524.39,9594.98,1025800000,9594.98
3-Oct-03,9492.54,9701.87,9492.54,9572.31,1570499968,9572.31
2-Oct-03,9464.76,9539.20,9397.87,9487.80,1269299968,9487.80
1-Oct-03,9275.06,9472.69,9275.06,9469.20,1566300032,9469.20
30-Sep-03,9378.10,9393.35,9199.43,9275.06,1590499968,9275.06
29-Sep-03,9314.42,9431.54,9259.68,9380.24,1366499968,9380.24
26-Sep-03,9342.43,9407.89,9257.99,9313.08,1472499968,9313.08
25-Sep-03,9425.58,9493.44,9311.47,9343.96,1530000000,9343.96
24-Sep-03,9575.97,9612.53,9400.67,9425.51,1556000000,9425.51
23-Sep-03,9535.76,9623.34,9479.41,9576.04,1301699968,9576.04
22-Sep-03,9641.80,9641.87,9467.83,9535.41,1278800000,9535.41
19-Sep-03,9661.80,9719.49,9582.64,9644.82,1518599936,9644.82
18-Sep-03,9544.04,9691.55,9513.37,9659.13,1498800000,9659.13
17-Sep-03,9566.08,9641.45,9510.28,9545.65,1338210048,9545.65
16-Sep-03,9449.16,9587.90,9426.84,9567.34,1403200000,9567.34
15-Sep-03,9471.19,9541.02,9396.03,9448.81,1151299968,9448.81
